,Screen_name,Name,Number_of_Followers,Location,Url,description,profile_image,Category
0,@littlefabshop,TheLittleFabricShop,17823.0,"Felixstowe, Suffolk, UK",http://t.co/8rcmxmBsUN,"✂️The Little Fabric Shop .. Beautiful Fabric, Haberdashery, Ribbons, Buttons, Fat Quarter Bundles & Sew much more.  Jane & Warren #Felixstowe  #Fabric",https://pbs.twimg.com/profile_images/1061886265203847168/6sTAEo7k_normal.jpg,Food
1,@ProfTimNoakes,Tim Noakes,144366.0,"Cape Town, South Africa",http://t.co/bfNQs3QShR,"Author, Emeritus Professor, runner, LCHF/Banting/CrossFit proponent. No longer registered medical doctor. Spreading scientific information, not medical advice.",https://pbs.twimg.com/profile_images/3067917348/98f3a74d66ea724935c175bca4aaa134_normal.jpeg,Food
2,@BestRecipesUK,Best Recipes UK,197802.0,"Whitley Bay, England",https://t.co/Wpi9RIO3pX,A recipe blog for anyone that loves food! #recipes #RecipeOfTheDay #food #recipeblog,https://pbs.twimg.com/profile_images/967828529776865280/qD2oyJH2_normal.jpg,Food
3,@NST_Online,New Straits Times,747772.0,Malaysia,https://t.co/S2b1G5M2AR,"News, views and up-to-date reports from Malaysia's premier news source. All that and more at https://t.co/S8jbx5pMaF",https://pbs.twimg.com/profile_images/1319812182591246336/04HH7EWX_normal.jpg,Food
4,@veganfuture,Vegan Future,117873.0,,http://t.co/XmF4WKyj5G,"Vegan Future raises awareness about the cruelty of the meat, egg and dairy industries and promotes the health and environmental benefits of veganism.",https://pbs.twimg.com/profile_images/463367350364803074/fax_M7LX_normal.jpeg,Food
5,@uniworldnews,UniversityWorldNews,21203.0,,http://t.co/NwCQiknMWQ,The first truly global independent higher education publication,https://pbs.twimg.com/profile_images/1318251484149055490/KqkRTWPH_normal.jpg,Food
6,@CapeTown,🐙 Cape Town,358255.0,"Cape Town, South Africa",https://t.co/QXbZC67g4g,Curated Cape Town since 2007 | Fiercely Independent | Conversational @iAmnotMany - Entrepreneur & Digital Content Strategist - Limited Promos🕯∂εε,https://pbs.twimg.com/profile_images/1143464431034294272/bRRzipeH_normal.png,Food
7,@GAINalliance,GAIN,29568.0,Geneva,https://t.co/minHMpsnBN,"The Global Alliance for Improved Nutrition (GAIN) builds partnerships to increase access to food that is safe, nutritious and affordable to all.",https://pbs.twimg.com/profile_images/1097556269119008768/QGj5aGzD_normal.png,Food
8,@gulf_news,Gulf News,1223766.0,United Arab Emirates,https://t.co/U14GSH7t8h,We don't just cover the news - we uncover the truth. The official Twitter feed from Gulf News.,https://pbs.twimg.com/profile_images/1274589861308235776/Zbiu5Z5P_normal.jpg,Food
9,@HiHyderabad,Hi Hyderabad,29625.0,"Hyderabad, India",https://t.co/V8nVDZZ9em,"Tweets from Hyderabad and Hyderabadis. ❤️ Hyderabad ❤️ Telangana ❤️ India.   
 హైదరాబాద్ --- حیدراباد --- हैदराबाद",https://pbs.twimg.com/profile_images/1302258529542107137/GVwKF158_normal.jpg,Food
